n_sim,gamma,MSE,se(MSE),theoretical_MSE
1,0.12508909310190233,0.007038774548704458,0.0,0.14297352120731038
1,0.12520438055550498,0.003922786860008871,0.0,0.14312415125605127
1,0.12531977426295138,0.003385506831568997,0.0,0.1432749598944583
1,0.1254352743221697,0.005223149105134775,0.0,0.14342594737622336
1,0.1255508808311782,0.004442746117155563,0.0,0.14357711395548822
1,0.12566659388808563,0.003088362801969445,0.0,0.1437284598868459
1,0.12578241359109102,0.004324315884325441,0.0,0.14387998542534147
1,0.12589834003848394,0.003913013001866845,0.0,0.14403169082647302
1,0.12601437332864468,0.00510253582457184,0.0,0.144183576346193
1,0.12613051356004407,0.003130246059884751,0.0,0.14433564224090867
1,0.12624676083124367,0.0029940390475488967,0.0,0.1444878887674835
1,0.12636311524089597,0.006639407620729865,0.0,0.1446403161832381
1,0.1264795768877444,0.004134542348306536,0.0,0.14479292474595132
1,0.12659614587062323,0.005081663105826928,0.0,0.14494571471386092
1,0.12671282228845804,0.0037881406994185714,0.0,0.145098686345665
1,0.12682960624026543,0.0037784490033079482,0.0,0.14525183990052282
1,0.12694649782515324,0.003993108211790893,0.0,0.1454051756380557
1,0.12706349714232085,0.0056197013125484875,0.0,0.14555869381834852
1,0.12718060429105885,0.008741053344172441,0.0,0.14571239470195013
1,0.1272978193707494,0.004299556116202524,0.0,0.1458662785498748
1,0.12741514248086633,0.0035012923225481458,0.0,0.14602034562360305
1,0.1275325737209751,0.00487961722707123,0.0,0.14617459618508297
1,0.1276501131907329,0.004712294520880463,0.0,0.14632903049673082
1,0.12776776098988885,0.007364272759515729,0.0,0.14648364882143244
1,0.1278855172182839,0.008573685024726248,0.0,0.14663845142254414
1,0.12800338197585104,0.003235492611242043,0.0,0.14679343856389376
1,0.12812135536261546,0.006550293551645433,0.0,0.14694861050978178
1,0.12823943747869446,0.008935556687485365,0.0,0.14710396752498234
1,0.12835762842429763,0.006112628230215242,0.0,0.14725950987474423
1,0.12847592829972687,0.005328288925637548,0.0,0.14741523782479204
1,0.12859433720537655,0.004518299471695192,0.0,0.14757115164132714
1,0.12871285524173365,0.0031431350803472115,0.0,0.14772725159102892
1,0.12883148250937765,0.007161899109106064,0.0,0.14788353794105566
1,0.1289502191089808,0.005917980009647633,0.0,0.14804001095904568
1,0.12906906514130806,0.0064260343917967346,0.0,0.1481966709131183
1,0.1291880207072173,0.004180860542230577,0.0,0.14835351807187527
1,0.12930708590765944,0.005342713058564229,0.0,0.14851055270440147
1,0.12942626084367825,0.005262742899858927,0.0,0.14866777508026605
1,0.1295455456164108,0.007760726613183909,0.0,0.14882518546952378
1,0.12966494032708725,0.0043852688205138065,0.0,0.14898278414271582
